:START_ID(Document),:END_ID(Committee),:TYPE
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_Expectations-of-Search-Committee-MembersSpring2023update","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-10-07","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Agenda-Feb-10-2022","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-02-16","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-01-07","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-02-01","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-10-05","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-07-21","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-11-04","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_DEIA-Task-Force-Meeting-Notes-December-14","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-15","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_unknown_LCD-Retreat-Small-Group-Reflection","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-03-02","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-09-08","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-09-07","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-06-21","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-08-05","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-03-10","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
